episode,success,fail_reason,reward,collected,total_cabbages,steps,energy_used,energy_per_cabbage,total_turns,overlap_rate,sector_switches
86,1,success,421.7604336649181,29,29,74,29.30000000000004,0,32,0,0
87,1,success,342.57883321642885,26,26,88,33.60000000000004,0,43,0,0
88,1,success,428.62612460255644,32,32,82,36.800000000000026,0,54,0,0
89,1,success,448.2962902843954,34,34,92,34.600000000000065,0,37,0,0
90,1,success,402.3319688662889,33,33,99,38.50000000000006,0,53,0,0
91,1,success,446.27424471080315,33,33,76,31.100000000000044,0,31,0,0
92,0,no_return,29.85643822252783,25,25,136,47.90000000000008,0,74,0,0
93,0,no_return,49.99129635095628,34,34,173,57.500000000000114,0,77,0,0
94,0,no_return,56.314181451499735,31,31,161,52.300000000000054,0,80,0,0
95,1,success,225.8814509585501,31,31,160,54.90000000000011,0,77,0,0
96,0,no_return,61.99220255315324,28,28,148,52.00000000000007,0,76,0,0
97,0,no_return,57.19515898823748,25,25,136,42.50000000000009,0,59,0,0
98,1,success,355.9487943097951,27,27,88,29.10000000000006,0,28,0,0
99,1,success,415.1026555433871,30,30,84,31.800000000000054,0,38,0,0
100,0,no_return,85.07557850256589,44,44,212,73.99999999999994,0,112,0,0
101,1,success,513.9642498210076,42,42,109,44.600000000000016,0,56,0,0
102,1,success,486.96828797310604,38,38,96,38.80000000000003,0,44,0,0
103,1,success,406.19362065941107,30,30,95,34.40000000000004,0,46,0,0
104,1,success,410.80180872380737,32,32,99,42.400000000000006,0,62,0,0
105,1,success,437.3034612476826,33,33,95,35.90000000000005,0,48,0,0
106,0,no_return,124.15991664603371,41,41,200,73.59999999999998,0,114,0,0
107,1,success,403.2732260495428,33,33,105,42.10000000000002,0,62,0,0
108,1,success,534.4316679358485,43,43,104,43.700000000000024,0,52,0,0
109,1,success,445.08458556830914,36,36,112,45.400000000000006,0,67,0,0
110,1,success,263.6938898533585,30,30,142,53.20000000000004,0,81,0,0
111,0,no_return,98.48384868502659,35,35,176,63.70000000000002,0,103,0,0
112,0,no_return,85.42442992329646,43,43,208,71.19999999999997,0,120,0,0
113,1,success,459.3260597735646,34,34,89,36.20000000000004,0,48,0,0
114,1,success,467.2928851708772,34,34,85,35.400000000000034,0,41,0,0
115,1,success,477.0394340053203,34,34,75,34.20000000000003,0,44,0,0
116,1,success,457.4765319719913,33,33,80,33.90000000000003,0,42,0,0
117,1,success,388.09533965736654,30,30,98,39.2,0,59,0,0
118,1,success,432.82306752502933,35,35,106,41.100000000000016,0,56,0,0
119,1,success,532.746322989464,40,40,89,38.400000000000006,0,47,0,0
120,0,no_return,90.95240947902225,31,31,160,51.90000000000004,0,78,0,0
121,0,no_return,45.055860933661684,37,37,183,71.79999999999995,0,114,0,0
122,1,success,525.8545139551168,42,42,111,44.000000000000014,0,54,0,0
123,1,success,322.85443843901226,41,41,199,77.69999999999992,0,125,0,0
124,1,success,416.39387808293117,34,34,102,41.80000000000002,0,59,0,0
125,0,no_return,39.46669287607097,41,41,200,73.49999999999997,0,106,0,0
126,1,success,296.34534708783036,43,43,183,66.09999999999997,0,97,0,0
127,0,no_return,40.391609416902064,32,32,164,57.400000000000055,0,91,0,0
128,1,success,465.550628523529,37,37,109,41.70000000000001,0,58,0,0
129,1,success,473.5139970228078,34,34,80,34.40000000000004,0,41,0,0
130,1,success,396.48765732124457,41,41,147,54.70000000000003,0,74,0,0
131,1,success,425.7674700096252,32,32,95,34.800000000000054,0,39,0,0
132,1,success,579.1757343918086,44,44,84,41.40000000000002,0,48,0,0
133,1,success,534.2251090571289,44,44,115,49.20000000000002,0,65,0,0
134,1,success,520.7499615773561,40,40,98,41.00000000000003,0,46,0,0
135,1,success,413.10386856794366,32,32,88,36.600000000000016,0,50,0,0
136,1,success,524.6471567749982,44,44,111,47.600000000000016,0,59,0,0
137,1,success,502.38967863619354,36,36,78,33.60000000000004,0,37,0,0
138,1,success,428.1658728584649,33,33,98,39.50000000000003,0,56,0,0
139,1,success,470.47312085330526,37,37,100,39.10000000000005,0,49,0,0
140,1,success,208.25157335251583,33,33,159,57.90000000000005,0,88,0,0
141,0,no_return,-64.09793534427862,38,38,187,67.40000000000008,0,97,0,0
142,1,success,482.0096572473648,42,42,117,41.00000000000002,0,47,0,0
143,1,success,433.0946925193074,31,31,78,31.700000000000053,0,40,0,0
144,1,success,465.7466595128181,37,37,103,43.30000000000001,0,62,0,0
145,1,success,523.5845077663664,41,41,100,42.100000000000016,0,50,0,0
146,1,success,269.71665584147,35,35,165,63.50000000000004,0,98,0,0
147,1,success,301.84333320409087,32,32,133,47.19999999999998,0,72,0,0
148,0,no_return,67.7583807364109,44,44,212,74.69999999999996,0,107,0,0
149,0,no_return,7.618715876341061,35,35,176,65.10000000000005,0,95,0,0
150,1,success,459.1737569183116,42,42,144,52.800000000000004,0,76,0,0
151,0,no_return,27.3768774300817,33,33,168,56.40000000000009,0,82,0,0
152,1,success,516.264434424043,39,39,93,40.90000000000003,0,54,0,0
153,1,success,580.0544882476332,44,44,90,41.60000000000001,0,46,0,0
154,1,success,551.6801278382542,43,43,96,41.700000000000024,0,45,0,0
155,1,success,496.29915175288943,36,36,82,34.60000000000004,0,39,0,0
156,1,success,514.2154059261086,38,38,86,36.80000000000002,0,41,0,0
157,1,success,455.74637098014375,38,38,104,44.80000000000001,0,62,0,0
158,0,no_return,85.68257222399137,33,33,168,58.30000000000008,0,86,0,0
159,1,success,450.5404778435829,35,35,100,38.30000000000004,0,47,0,0
160,1,success,541.5471872136,41,41,94,41.10000000000001,0,47,0,0
161,1,success,485.0455973237757,41,41,118,46.70000000000005,0,59,0,0
162,0,no_return,127.96194833144575,37,37,184,73.89999999999998,0,118,0,0
163,0,no_return,16.566032928228484,33,33,168,61.70000000000001,0,99,0,0
164,0,no_return,69.3906757816673,40,40,195,68.60000000000001,0,95,0,0
165,0,no_return,29.99900006204876,30,30,156,60.20000000000007,0,95,0,0
166,1,success,526.8187946379187,38,38,74,34.80000000000003,0,38,0,0
167,1,success,422.76330122947707,31,31,92,35.70000000000007,0,50,0,0
168,0,no_return,103.00836879014987,37,37,184,60.70000000000012,0,79,0,0
169,1,success,463.9014603078367,35,35,88,35.500000000000036,0,42,0,0
170,0,no_return,113.19394762069028,43,43,208,71.09999999999995,0,103,0,0
171,0,no_return,123.69305826947108,41,41,200,67.30000000000008,0,89,0,0
172,0,no_return,102.73046143352992,31,31,160,53.00000000000008,0,73,0,0
173,0,no_return,31.668019071221526,31,31,160,55.60000000000006,0,85,0,0
174,1,success,509.24902831465033,38,38,88,36.00000000000005,0,38,0,0
175,1,success,550.7271120041611,42,42,98,42.20000000000002,0,50,0,0
176,1,success,479.7901558786632,35,35,81,34.70000000000004,0,39,0,0
177,0,no_return,128.7202935226264,43,43,207,74.09999999999994,0,113,0,0
178,1,success,528.1804740488531,42,42,104,43.00000000000001,0,51,0,0
179,1,success,418.1949305683375,38,38,120,46.80000000000004,0,56,0,0
180,0,no_return,23.14379164055003,31,31,160,51.1000000000001,0,68,0,0
181,1,success,479.63606960475477,39,39,103,47.29999999999999,0,68,0,0
182,1,success,473.19063427299284,36,36,92,38.600000000000044,0,45,0,0
183,1,success,440.74420380592363,31,31,74,31.300000000000033,0,37,0,0
184,1,success,503.4005165755752,38,38,91,38.60000000000004,0,47,0,0
185,1,success,413.2152995675805,35,35,113,41.30000000000002,0,57,0,0
186,1,success,416.8311251088978,32,32,86,36.80000000000003,0,51,0,0
187,1,success,464.61729558408314,43,43,140,53.9,0,77,0,0
188,1,success,396.6275974392894,30,30,95,37.600000000000044,0,55,0,0
189,1,success,338.12751427590865,35,35,133,46.500000000000064,0,60,0,0
190,1,success,440.46527022272386,33,33,94,37.30000000000005,0,48,0,0
191,1,success,478.7497121125463,40,40,117,46.80000000000002,0,68,0,0
192,1,success,512.7357459843163,39,39,94,40.70000000000002,0,51,0,0
193,1,success,410.0675390288235,36,36,114,43.80000000000004,0,53,0,0
194,1,success,430.32067912220975,30,30,72,32.400000000000034,0,41,0,0
195,0,no_return,63.73226817548315,38,38,188,68.90000000000002,0,103,0,0
196,1,success,519.3670741319659,39,39,91,38.500000000000036,0,40,0,0
197,1,success,517.5481246978047,38,38,84,35.80000000000003,0,41,0,0
198,0,no_return,56.701533593982774,37,37,184,61.80000000000012,0,83,0,0
199,1,success,496.8477143183354,38,38,92,40.60000000000002,0,51,0,0
200,1,success,536.8496383234863,43,43,112,50.30000000000002,0,67,0,0
201,1,success,405.12393077760953,48,48,182,69.79999999999988,0,103,0,0
